Nombre,Estilo,País,País Ingles,Alcohol,Color,Amargor,Descripcion,Descripcion ingles,Disponible,Imagen,Artesanal,Tipo,Recomendada,Formato,Precio,formato 2,precio 2,formato 3,precio 3,Sin gluten,Aparece,Barril
A Dios,Triple Neipa,España 🇪🇸,Spain 🇪🇸,"10,0%",,,"Para el Art Beer Fest de este año, 10 cervecerías internacionales se unieron para rendir homenaje al mejor jugador de todos los tiempos: A Dios. Juntos diseñaron una receta con una idea sencilla: 10 cervecerías, 10 maltas, 10 lúpulos y 10% de alcohol en una potente y jugosa Triple Neipa marcada por el virtuosismo y el exceso.

Una colaboración con:
1- Juguetes Perdidos 🇦🇷
2- MØMBrewers 🇵🇹
3- Milkkeller 🇩🇰
4- Jing-A 🇨🇳
5- Two Tribes 🇬🇧
6 - SanFrutos 🇪🇸
7- Stu Mostow 🇵🇱
8- Fraugruber 🇩🇪
9- Vetra Milano 🇮🇹
10- La Pirata 🇪🇸",,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1621944545/vzriksistp0cksyutor7.png,Si,IPA-IPA,No,33 cl (Lata) - 33 cl (Canned),"7,00 €",,,,,,Sí,No
Alhambra Baltic Porter,Baltic Porter,España 🇪🇸,Spain 🇪🇸,"7,8%",200 EBC,35 IBU,,,Sí,https://i.ibb.co/VjqgSsf/bartic.jpg,No,Negra-Stout,No,33 cl (Botella) - 33 cl (Bottle),"6,80 €",,,,,,SÍ,No
Alhambra Palo Cortado,Lager con crianza en barrica,España 🇪🇸,Spain 🇪🇸,"7,6%",,23 IBU,El tiempo de crianza de la cerveza hace que el caracter del vino Palo Cortado se exprese en la cerveza,,Sí,https://i.ibb.co/4s8NbFD/alhambra-palo-cortado.jpg,No,Tostada-Brown,No,50 cl (Botella) - 50 cl (Bottle),"9,50 €",,,,,,SÍ,No
Alhambra Reserva 1925,Amber Lager,España 🇪🇸,Spain 🇪🇸,"6,4%",13 EBC,26 IBU,,,Sí,https://i.ibb.co/x7mZHF9/cerveza-alhambra-reserva-1925-33-cl-botella-min.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"3,60 €",,,,,,SÍ,No
Anchor Fog Breaker IPA,IPA,USA 🇺🇸,USA 🇺🇸,"6,8%",,50 IBU,"San Francisco tiene muchas cosas a su favor, pero el clima es algo diferente: la ciudad está envuelta en una niebla que al final le han puesto sus ciudadanos con el nombre de Karl. La cerveceria de Anchor Brewinges se encuentra en Potrero cuya principal particularidad es que es uno de los lugares más soleados de San Francisco. En honor a dicha ubicación se le ha dado el nombre de Fog Breaker IPA a esta cerveza con un aroma afrutado y sabor amargo. Es una cerveza refrescante con intensos aromas a piña madura, melón y pino gracias a el lúpulo Citra Cryo, al lúpulo Denali y Cascade.  Elaborada con trigo y malta pálida su amargor se contrarresta con toques de sabor a galleta y una suave y efervecente sensación en boca lo que la hace evidente en su apariencia con un cuerpo brillante, dorado y pajizo con una crema duradera.",,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1620927857/wkr00lm23azoacdclrer.png,No,IPA-IPA,No,"35,5 cl (Botella) - 35,5 cl (Bottle)","6,70 €",,,,,,SÍ,No
Arriaca IMPERIAL RED IPA,Imperial Red IPA,España 🇪🇸,Spain 🇪🇸,"8,5%",,99 IBU,,,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1624367224/loerr1eki41urkee6cts.png,Sí,IPA-IPA,No,33 cl (Lata) - 33 cl (Canned),"6,60 €",,,,,,SÍ,No
Arriaca IPA,IPA,España 🇪🇸,Spain 🇪🇸,"6,9%",,45 IBU,,,Sí,https://i.ibb.co/mDqcWmv/1322.png,Sí,IPA-IPA,No,33 cl (Lata) - 33 cl (Canned),"5,60 €",,,,,,SÍ,No
Barbar,Ale,Bélgica 🇧🇪,Belgium 🇧🇪,"8,0%",90 EBC,20 IBU,"Color rubio oscuro, muy cremosa y aroma muy potente, aromatizada con miel y acompañada con notas picantes, cítricas y florales",,No,https://i.ibb.co/VL9qScx/barbar.png,No,Tostada-Brown,No,33 cl (Botella) - 33 cl (Bottle),"5,00 €",,,,,,SÍ,No
Bestiator,Honey Doppelbock,España 🇪🇸,Spain 🇪🇸,"8,6%",62 EBC,44 IBU,"Pués si, estos máquinas de mi Salamanca siguen haciendo de las suyas, ahora otra barbaridad más de sabor. Prueba BESTIATOR y no te arrepentirás",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1621420538/l86xkrzxlyqxiltdlelx.png,Sí,Tostada-Brown,No,33 cl (botella) - 33 cl (Bottle),"5,20 €",,,,,,SÍ,No
Bizarra Black Ipa,Black IPA,España 🇪🇸,Spain 🇪🇸,"6,4%",,,,,No,https://i.ibb.co/0qcD38J/bizarra-black-ipa.jpg,Sí,IPA-IPA,No,33 cl (botella) - 33 cl (Bottle),"4,10 €",75 cl (Botella)- (Bottel),"9,00 €",,,,SÍ,No
Bizarra Pale Ale,American Pale Ale,España 🇪🇸,Spain 🇪🇸,"5,8%",,,,,No,,Si,Tostada-Brown,No,33 cl (Botella) - 33 cl (Bottle),"4,10 €",,,,,,SÍ,No
Bizarra Red Demon,IPA,España 🇪🇸,Spain 🇪🇸,"7,0%",,72 IBU,,,Sí,https://i.ibb.co/jyTKtBL/Vaso-Botella-Red-Demon-2.png,Sí,IPA-IPA,No,33 cl (Botella) - 33 cl (Bottle),"4,10 €",,,,,,SÍ,No
Bizarra Tostada,Tostada,España 🇪🇸,Spain 🇪🇸,"6,2%",,,,,No,https://i.ibb.co/C70CwV7/bot-bizarra-tostada.png,Sí,Tostada-Brown,No,33 cl (Botella) - 33 cl (Bottle),"4,10 €",,,,,,SÍ,No
Bizarra Trigo,Weissber,España 🇪🇸,Spain 🇪🇸,"5,0%",,,,,No,https://i.ibb.co/7K1TryC/bizarra-trigo.png,Sí,Trigo-White beer,No,33 cl (Botella) - 33 cl (Bottle),"4,10 €",,,,,,SÍ,No
Blue Moon,Belgian White Ale,USA 🇺🇸,USA 🇺🇸,"5,4%",,,,,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1601974280/zmczruxe1xbaxzeklrri.png,Si,Trigo-White beer,No,33 cl (Botella) - 33 cl (Bottle),"3,60 €",,,,,,SÍ,No
Brewdog Hazy Jane,New England IPA,Escocia 🇬🇧,Scotland 🇬🇧,"5,0%",,70 IBU,,"East Coasts collide and crank it up for this new New England IPA retuned in Scotland. Brewed with oats and wheat and left unfiltered for a hazy appearance and super smooth delivery. Dry-hopped for a full-tilt fruit hit with pineapple, mango and a hint of zesty lime. Low on bitterness, high on haze, heavy on hops.",Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1625825944/vghtqvhftjtf1pcgq2lx.png,No,IPA-IPA,No,33 cl (Botella) - 33 cl (Bottle),"4,90 €",,,,,,SÍ,No
Brewdog Punk IPA,IPA,Escocia 🇬🇧,Scotland 🇬🇧,"6,0%",,68 IBU,,,Sí,https://i.ibb.co/w4wcJF3/pub-media-catalog-product-p-u-punkipa-2000x0.png,No,IPA-IPA,No,33 cl (Botella) - 33 cl (Bottle),"4,90 €",,,,,,SÍ,No
Brewdog RIP TIDE (2015),Twisted Merciless Stout (Vintage),Escocia 🇬🇧,Scotland 🇬🇧,"8,0%",240 EBC,,"El BrewDog original, Bracken decidió hacer una cerveza que fuera un reflejo de si mismo; este es el equivalente cervecero del monstruo de chocolate grande y lindo. Suave, suave, oscuro, chocolateado y una fuerza a tener en cuenta. Embotellada en 2015 (verás que tiene etiqueta antigua) y madurada en nuestra bodega más de 6 años hasta abril de 2021 que es cuando la ponemos a disposición de la peña que sabe lo que se lleva a la boca!!!","The original BrewDog, Bracken decided to make a beer that best reflected himself; this is the beer equivalent of the big, cute chocolate monster. Soft, smooth, dark, chocolatey and a force to be reckoned with. This gentle giant will never bite, but you'll still want to be on your best behaviour!",Si,https://res.cloudinary.com/divmsybfa/image/upload/v1619008411/prx15hrfbimswnxajfjk.png,No,Negra-Stout,No,33 cl (Botella) - 33 cl (Bottle),"8,30 €",,,,,,SÍ,No
Budejovick Budvar Dark,Dunkel,República Checa 🇨🇿,Czech Republic 🇨🇿,"4,7%",,,,,Sí,https://i.ibb.co/Czkm9HX/beer-36339.png,No,Negra-Stout,No,33 cl (Botella) - 33 cl (Bottle),"5,60 €",,,,,,SÍ,No
Budejovick Budvar Original,Blonde,República Checa 🇨🇿,Czech Republic 🇨🇿,"5,0%",,,,,Sí,https://i.ibb.co/XpRssPG/5e981833ad97f98beb270af4-Budvar-bottle-original-0-50-Hi-Res-RGB-s-2x.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"4,90 €",,,,,,SÍ,No
Budweiser,Lager,USA 🇺🇸,USA 🇺🇸,"4,8%",,12 IBU,"En 1876 Adolphus Busch perfeccionó la receta, el proceso de elaboración y el sabor de la Gran Cerveza Lager. Manteniéndonos fieles al dicho: Si funciona, ¿para qué cambiarlo?",,Sí,https://i.ibb.co/SPBDyVj/Budweiser.png,No,Rubia-Blond,No,33 cl (botella) - 33 cl (Bottle),"3,00 €",,,,,,SÍ,No
Burro Tequila,Rubia aromatizada con tequila,España 🇪🇸,Spain 🇪🇸,"5,9%",,,Al Burro de Sancho le gusta el Tequila!!!!,,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1601919294/bq91edcafqtuacp29hcn.png,Si,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"4,00 €",,,,,,SÍ,No
Casimiro Ale ,Dubbel,España 🇪🇸,Spain 🇪🇸,"6,4%",41 EBC,26 IBU,,,Sí,https://i.ibb.co/VjRP2H1/casimiro-mahou-cerveza-ale.png,Sí,Tostada-Brown,No,"37,5 cl (Botella) - 37,5 cl (Bottle)","4,10 €",,,,,,SÍ,No
Casimiro Extra,Doppel Bock,España 🇪🇸,Spain 🇪🇸,"7,0%",23 EBC,26 IBU,,,Sí,https://i.ibb.co/D7xzxx3/casimiro-extra-detalle.png,Sí,Rubia-Blond,No,"37,5 cl (Botella) - 37,5 cl (Bottle)","4,10 €",,,,,,SÍ,No
Casimiro Lager,Pils,España 🇪🇸,Spain 🇪🇸,"5,2%",17 EBC ,21 IBU,,,Sí,https://i.ibb.co/kgRDcTm/casimiro-lager-detalle.png,Sí,Rubia-Blond,No,"37,5 cl (Botella) - 37,5 cl (Bottle)","4,10 €",,,,,,SÍ,No
Casimiro Trigo,Weissbier,España 🇪🇸,Spain 🇪🇸,"4,9%",16 EBC,12 IBU,,,Sí,https://i.ibb.co/MkgvfVF/casimiro-trigo-detalle.png,Sí,Trigo-White beer,No,"37,5 cl (Botella) - 37,5 cl (Bottle)","4,10 €",,,,,,SÍ,No
Caulier,Rubia SIN GLUTEN,Bélgica 🇧🇪,Belgium 🇧🇪,"6,8%",,35 IBU,"Al final los intolerantes al gluten tambien tienen derecho a tomarse una cerveza de verdad, con grado y además de una de las cerveceras Belgas más reconocidas. Claro que si!!!",,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1620929401/irgzhryy8sl02ynyfwud.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"4,90 €",,,,,,SÍ,No
Chimay Azul,Belgian Strong Ale,Bélgica 🇧🇪,Belgium 🇧🇪,"9,0%",,35 IBU,,,Sí,https://i.ibb.co/WKcBLs3/IMG-7703-800x-ace238c4-b6a8-48bf-a0de-26691e8da6aa-521x.jpg,No,Tostada-Brown,No,33 cl (Botella) - 33 cl (Bottle),"4,60 €",,,,,,SÍ,No
Chimay Roja,Belgian Strong Ale,Bélgica 🇧🇪,Belgium 🇧🇪,"7,0%",,19 IBU,,,Sí,https://i.ibb.co/1JVP9NT/chimay-chimay-red-33cl.png,No,Tostada-Brown,No,33 cl (Botella) - 33 cl (Bottle),"4,60 €",,,,,,SÍ,No
Cibeles Dry Hopping,Dry Hopping IPA,España 🇪🇸,Spain 🇪🇸,"5,1%",,,,,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1601974369/nacppsqv8jfdwmhhmrpt.png,Sí,IPA-IPA,No,33 cl (Botella) - 33 cl (Bottle),"4,30 €",,,,,,SÍ,No
Cibeles Imperial IPA,IPA,España 🇪🇸,Spain 🇪🇸,"7,0%",,,,,No,https://res.cloudinary.com/divmsybfa/image/upload/v1601974408/ntqirnaml6tgyoqbkeqt.png,Sí,IPA-IPA,No,33 cl (Botella) - 33 cl (Bottle),"4,30 €",,,,,,SÍ,No
Coronita,Light Lager,México 🇲🇽,Mexico 🇲🇽,"4,6%",,19 IBU,,,Sí,https://i.ibb.co/NYZ62zV/coronita-24-x-33-cl.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"3,60 €",,,,,,SÍ,No
Delirium Tremens ,Pale Ale ,España 🇪🇸,Spain 🇪🇸,"9,0%",90 EBC,26 IBU,El logo de la cerveza es un elefante rosado que nació en 1989 y se ha convertido en un icono internacional. El nombre «Delirium Tremens» proviene del trastorno cognitivo causado por la abstinencia del alcohol en una persona químicamente dependiente.,,Sí,https://i.ibb.co/P40VDrC/deliriumjpg.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"5,20 €",,,,,,SÍ,No
Dikkenek,Belgian IPA,Bélgica 🇧🇪,Belgium 🇧🇪,"6,7%",,50 IBU,"Aquí está la primera colaboración Unplugged! Elaborada con un toque exótico y malta local, esta IPA que calma la sed se mantiene fiel al espíritu belga. Disfrútala bien con tus amigos. Basada en una idea original de Dave y elaborada por gente local. Unas de las fábricas de cerveza más populares en Valonia, ubicada en una ubicación estratégica, se creó para abastecer a los pubs alrededor de las canteras de Quenast para que los numerosos trabajadores, sedientos, pudieran venir a refrescarse. Rápidamente, la red de ventas se extendió a las aldeas vecinas. Actualmente continúa siendo una compañía familiar, heredera del fundador de la cervecería (Jules Lefebvre) y goza de un notable prestigio en el sector con delicias entre su porfolio apreciadas a lo largo y ancho del planeta",,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1622807899/fzdv9j0dbjnufnl8hocp.png,No,IPA-IPA,No,33 cl (Botella) - 33 cl (Bottle),"6,90 €",,,,,,SÍ,No
Dover,Pastry Stout,España 🇪🇸,Spain 🇪🇸,"7,8%",,,"Pastry stout con cacao y toque de flor de sal, segunda entrega de la serie STEROCRAFT. Colaboración entre Subterfuge Records y  La Quince en tributo al disco «Devil came to me»  de Dover. Contiene LACTOSA",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1614948400/od6fkwgphrpkzm4vekpw.png,Si,Negra-Stout,No,44 cl (Lata) - 44 cl (Canned),"9,40 €",,,,,,SÍ,No
Duchesse de Bourgogne,Belgium Flanders Red Ale,Bélgica 🇧🇪,Belgium 🇧🇪,"6,2%",,35 IBU,"Una cerveza tradicional de color marrón rojizo de alta fermentación procedente de la región de Flandes Occidental de Bélgica. Esta refinada ale, conocida como """" Las Borgoñas de Bélgica """", es una mezcla de ales de 8 y 18 meses de edad después de una cuidadosa maduración en barricas de roble","A traditional top fermented reddish-brown ale from the West-Flanders region of Belgium. This refined ale, known as """"The Burgundies of Belgium"""", is a blend of 8 and 18 months-old ales following careful maturation in oak casks.",No,https://res.cloudinary.com/divmsybfa/image/upload/v1617185164/xpp8hsx003mbickzx7oq.png,No,Tostada-Brown,No,25 cl (Botella) - 25 cl (Bottle),"4,60 €",,,,,,SÍ,No
Embrasse,Negra belga,Bélgica 🇧🇪,Belgium 🇧🇪,"9,0%",,46 IBU,,,No,https://i.ibb.co/KKxfy6k/embrasse.jpg,Si,Negra-Stout,No,33 cl (Botella) - 33 cl (Bottle),"6,00 €",,,,,,No,No
Er Boquerón,4 Maltas,España 🇪🇸,Spain 🇪🇸,"4,8%",,,content_cop,,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1616755097/c2qhkgikfaionobfxtl7.png,Sí,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"4,50 €",,,,,,SÍ,No
Erdinger Dunkel,Dunkelweizen,Alemania 🇩🇪,Germany 🇩🇪,"5,6%",,14 IBU,,,Sí,https://i.ibb.co/bJRRZRb/cerveza-erdinger-dunkel-800x800.png,No,Negra-Stout,No,50 cl (Botella) - 50 cl (Bottle),"5,80 €",,,,,,SÍ,No
Erdinger Pikantus,Weizenbock,Alemania 🇩🇪,Germany 🇩🇪,"7,3%",,10 IBU,,,Sí,https://i.ibb.co/5vZbv00/pikantus.png,No,Tostada-Brown,No,50 cl (Botella) - 50 cl (Bottle),"5,80 €",,,,,,SÍ,No
Erdinger Urweisse,Weizen-Weissbier,Alemania 🇩🇪,Germany 🇩🇪,"5,3%",,12 IBU,,,Sí,https://i.ibb.co/m4s7Wzb/urweissa.png,No,Trigo-White beer,No,50 cl (Botella) - 50cl (Bottle),"5,80 €",,,,,,SÍ,No
Erdinger Weissbier,Weissbier,Alemania 🇩🇪,Germany 🇩🇪,"5,3%",,13 IBU,,,Sí,https://i.ibb.co/82yxzb0/erdinger-weiss.png,No,Trigo-White beer,No,50 cl (Botella) - 50 cl (Bottle),"5,80 €",,,,,,SÍ,No
Fantastic Hops Issue 5,Triple NEIPA,España 🇪🇸,Spain 🇪🇸,"10,0%",,62 IBU,"UNA CERVEZA PARA LOS HÉROES SIN CAPA DE LA CRISIS.Pocas dudas hay de quiénes son los héroes de esta pandemia. Personal sanitario, trabajadores de sectores esenciales, fuerzas y cuerpos de seguridad del estado reciben cada día el aplauso de millones de españoles confinados en sus casas. Una forma ruidosa y multitudinaria que tienen los otros héroes, la población que respeta el aislamiento, de recompensar simbólicamente a aquellos que salen de sus casas para que el resto podamos quedarnos en la nuestra.",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1624272366/pugecnv9m6izb0kkzer5.png,Si,IPA-IPA,No,44 cl (Lata) - 44 cl (Canned),"9,40 €",,,,,,SÍ,No
Fantastic Hops Issue 6,Modern West Coast IPA,España 🇪🇸,Spain 🇪🇸,"6,5%",,70 IBU,"UNA CERVEZA PARA LOS HÉROES SIN CAPA DE LA CRISIS.Reparto de comida en los hospitales, taxis gratis o habitaciones de hotel sin coste para descansar son algunos ejemplos más de este agradecimiento. Pero las pequeñas empresas también se quieren sumar a la ronda de homenajes... Y así lo ha hecho LaQuince, una cervecera artesana con sede en Madrid que ha elaborado cuatro cervezas para honrar a estos colectivos.",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1624272522/rhis3u3h9jc73joxo9j4.png,Si,IPA-IPA,No,44 cl (Lata) - 44 cl (Canned),"9,40 €",,,,,,SÍ,No
Fantastic Hops Issue 7,Session Hazy IPA,España 🇪🇸,Spain 🇪🇸,"4,5%",,58 IBU,"UNA CERVEZA PARA LOS HÉROES SIN CAPA DE LA CRISIS. La idea, según cuenta Jacobo Lliso, fundador de la cervecera, era rendir homenaje al mundo del cómic con el que pasaron, y pasan, horas y horas. Pero, tras una noche en la que ""no podía dormir por preocupaciones varias"", Lliso pensó que también era una buena forma de dar las gracias a los héroes sin capa de esta crisis. Además, la madre de Benjamín, uno de los trabajadores de LaQuince, es médico... Todo el equipo está viviendo esta situación muy de cerca.",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1624272991/dihozs6cuj7gzx1izgwd.png,Si,IPA-IPA,No,44 cl (Lata) - 44 cl (Canned),"9,40 €",,,,,,SÍ,No
Fantastic Hops Issue 8,Classic West Coast IPA,España 🇪🇸,Spain 🇪🇸,"6,5%",,45 IBU,"UNA CERVEZA PARA LOS HÉROES SIN CAPA DE LA CRISIS. Los cuatro superhéroes que ilustran cada una de las etiquetas representan los cuatro colectivos a los que ""directa o indirectamente"" los chicos de LaQuince están muy agradecidos. Los empleados del sector sanitario ""por curar y salvar vidas de familiares y amigos""; los hijos, padres y madres ""que están multiplicándose para hacer su trabajo y enseñar a los pequeños""; los empleados que ""siguen trabajando para suministrar"" a la ciudadanía y, por último, las empresas que han permitido crear su cervecera.",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1624273110/rj8kyvviqoctxtrh4q2f.png,Si,IPA-IPA,No,44 cl (Lata) - 44 cl (Canned),"9,40 €",,,,,,SÍ,No
Founders All Day IPA,IPA,USA 🇺🇸,USA 🇺🇸,"4,7%",,42 IBU,"Founders All Day IPA es una Session IPA. La mejor recompensa tras una jornada dura, para celebrar esos pequeños placeres diarios de los que tanto sabe un Cervecista. Es una India Pale Ale de Sesión, pero … ¿Qué significa exactamente «sesión»? básicamente se trata de una cerveza con menor graduación alcohólica pero que mantiene todo el sabor.","The beer you’ve been waiting for. Keeps your taste satisfied while keeping your senses sharp. An all-day IPA naturally brewed with a complex array of malts, grains and hops. Balanced for optimal aromatics and a clean finish. The perfect reward for an honest day’s work and the ultimate companion to celebrate life’s simple pleasures.",Sí,https://i.ibb.co/7pKSF4T/147295-00-1.jpg,Sí,IPA-IPA,No,"35,5 cl (Botella)","7,40 €",,,,,,SÍ,No
Founders Centennial IPA,IPA,USA 🇺🇸,USA 🇺🇸,"7,2%",,65 IBU,"Cervezas diseñadas para unos pocos elegidos, un pequeño grupo de renegados y rebeldes que disfrutan de cerveza que supera los límites de lo que comúnmente se acepta como sabor. Cerveza para gente como sus fundadores, por eso su lema es Brewed For Us, elaborado para nosotros.","Get ready to bask in the glory of the frothy head’s floral bouquet. Relish the citrus accents from the abundance of dry hopping. This one’s sweet, yet balanced. Malty undertones shake hands with the hop character for a finish that never turns too bitter.",No,https://i.ibb.co/QFTF1H2/ci-founders-centennial-ipa-09ac4859e824752b.jpg,Sí,IPA-IPA,Sí,47 cl (Pinta) - 47 cl (Pint),"7,40 €",,,,,,SÍ,Sí
Founders Dirty Bastard,Scotch Style Ale,USA 🇺🇸,USA 🇺🇸,"8,5%",,50 IBU,"Final complejo, con notas de humo y turba, además de un rico sabor a malta y un buen golpe de lúpulo que resaltan la actitud rebelde de una cerveza que solo podía llamarse Dirty Bastard.","So good it’s almost wrong. Dark ruby in color and brewed with seven varieties of imported malts. Complex in finish, with hints of smoke and peat, paired with a malty richness and a right hook of hop power to give it the bad attitude that a beer named Dirty Bastard has to live up to. Ain’t for the wee lads",Sí,https://i.ibb.co/vZGhrbZ/founders-dirty-bastard.jpg,Sí,Tostada-Brown,No,"35,5 cl (Botella)","7,40 €",,,,,,SÍ,No
Founders KBS,Bourbon Barrel- Aged Chocolate Coffee Stout,USA 🇺🇸,USA 🇺🇸,"12,0%",,70 IBU,"Nos encontramos con KBS (Kentucky Breakfast Stout) de Founders, una de las mejores cervezas Imperial Stout del mundo.
Elaborada con una enorme cantidad de café y chocolates, se envejece en barril de roble de bourbon durante todo un año, para asegurarse de que los maravillosos matices del bourbon lleguen hasta el final.","This beer taught us that patience truly is a virtue. KBS is a big imperial stout brewed with a massive amount of coffee and chocolate and then bourbon barrel-aged to perfection. Incredibly silky and full-bodied with notes of vanilla, cocoa, roasted coffee and charred oak.",Sí,https://i.ibb.co/GpBhqY5/founders-kbs-260x770-1.png,Sí,Negra-Stout,No,"35,5 cl (Botella)","14,00 €",,,,,,SÍ,No
Franziskaner,Weissbier,Alemania 🇩🇪,Germany 🇩🇪,"5,0%",,12 IBU,,,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1608117385/fkwgdkcksbfjiaijn492.png,No,Trigo-White beer,No,50 cl (Botella) - 50 cl (Bottle),"4,40 €",(Vaso Original)-(Original Glass),"4,40 €",,,,SÍ,Sí
Franziskaner Dunkel,Dunkel,Alemania 🇩🇪,Germany 🇩🇪,"5,0%",,,,,Sí,https://i.ibb.co/r5XKdKc/1-Y4-A9913-1024x1024-1-1200x1200.png,No,Negra-Stout,No,50 cl (botella) - 50 cl (bottle),"5,00 €",,,,,,SÍ,No
Funky Brett,Belgian Brett IPA,Bélgica 🇧🇪,Belgium 🇧🇪,"6,6%",,50 IBU,"Elaborada en secreto para celebrar el 65 aniversario de Philippe Lefebvre, que representa la quinta generación de la cervecería familiar, esta cerveza rubia es un verdadero regalo «de los hijos al padre». Encarna el saber hacer de un padre y el dinamismo de sus hijos. Para darle su plenitud, dejan madurar la cerveza en sus cavas durante 3 meses. Floreciente y de carácter evolutivo, esta cerveza rubia se puede disfrutar joven y fría, o templada después de unos meses de maduración a temperatura de bodega, protegida de la luz. Unas de las fábricas de cerveza más populares en Valonia, ubicada en una ubicación estratégica, se creó para abastecer a los pubs alrededor de las canteras de Quenast para que los numerosos trabajadores, sedientos, pudieran venir a refrescarse. Rápidamente, la red de ventas se extendió a las aldeas vecinas. Actualmente continúa siendo una compañía familiar, heredera del fundador de la cervecería (Jules Lefebvre) y goza de un notable prestigio en el sector con delicias entre su porfolio apreciadas a lo largo y ancho del planeta",,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1622807697/wwixbbe7qd29oqmazody.png,No,IPA-IPA,No,33 cl (Botella) - 33 cl (Bottle),"6,90 €",,,,,,SÍ,No
"Geuze Boon ""Black Label"" EDITION Nº 5",Geuze Oude,Bélgica 🇧🇪,Belgium 🇧🇪,"7,0%",,,"La Oude Geuze Boon Black Label Edition N°5 se presenta de nuevo con su final potente, largo y seco a base de un cuerpo redondo, tan conocido de la Boon Black Label. Con su refrescante toque de pomelo y la fina perla de su carbonatación, podemos describir la Boon Black Label N°5 como una Oude Geuze muy elegante, suave y melosa. Su complejidad basada en una ligera acidez de fondo combinada con un toque sutil de roble con referencias a vino lleva a un equilibrio perfecto. La edición N°5 ha sido embotellada el 14 de noviembre 2019 y ha madurado durante más de un año en las bodegas de la cervecería Boon. El cupage se ha hecho con lambicas de uno, dos y 3 años de maduración en “foeders” (barricas de roble) La Oude Geuze Boon Black Label Edition N°5 es perfecta para abrir boca como aperitivo y una geuze ideal para disfrutar de manera relajada.",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1618305687/tmh2k14pw1zpircsxxra.png,No,Geuze-Geuze,No,75 cl (Botella) - 75 cl (Bottle),"17,00 €",,,,,,SÍ,No
Green Team,Hazy IPA,España 🇪🇸,Spain 🇪🇸,"9,0%",,60 IBU,"Para hacer buena cerveza se necesita buena materia prima y de eso sabe un rato nuestro proveedor Agronet, cuya alianza con el cultivador de lúpulo neozelandés Hop Revolution celebramos con esta Doble IPA bien cargada de las variedades Nelson Sauvin, Pacific Jade, Motueka y Rakau, procedentes de este lejano país.",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1624449606/nh9dv8iebeze9ulse6fy.png,Si,IPA-IPA,No,44 cl (Lata) - 44cl (Canned),"7,40 €",,,,,,SÍ,No
Grolsch,Lager,Holanda 🇳🇱,Netherlands 🇳🇱,"5,0%",,28 IBU,,,Sí,https://i.ibb.co/RvStx4t/Grolsch-1-5-570x700.png,No,Rubia-Blond,No,50 cl (Botella) - 50 cl (Bottle),"4,80 €",,,,,,SÍ,No
Guinness,Stout,Irlanda 🇮🇪,Ireland 🇮🇪,"4,2%",,,"Sin palabras...Guinness es Guinness. Lo demás es ""otra cosa""",,Sí,https://i.ibb.co/SJRgQDx/Pint-glass-of-Guinness.jpg,No,Negra-Stout,No,,"4,50 €",,"4,50 €",(Pinta)-(Pint),"4,50 €",,SÍ,Sí
Gulden Draak,Belgian Strong Ale,Bélgica 🇧🇪,Belgium 🇧🇪,"10,5%",90 EBC,27 IBU,"Gulden Draak es una excepcional cerveza triple belga de tipo Strong Dark Ale, de color oscuro, con notas a caramelo, malta tostada y café. Esta cerveza artesanal belga se elabora con agua, malta, varias levaduras exclusivas y lúpulos nobles tradicionales. Durante la segunda fermentación se añade levadura de vino, lo que le aporta un sabor característico que la hace única.",,Sí,https://i.ibb.co/cwjPL5T/brouwerij-van-steenberge-gulden-draak-classic.png,No,Negra-Stout,No,33 cl (Botella) - 33 cl (Bottle),"5,30 €",,,,,,SÍ,No
