Nombre,Estilo,País,País Ingles,Alcohol,Color,Amargor,Descripcion,Descripcion ingles,Disponible,Imagen,Artesanal,Tipo,Recomendada,Formato,Precio,formato 2,precio 2,formato 3,precio 3,Sin gluten,Aparece,Barril
Nómada Manchurita,Trigo,España 🇪🇸,Spain 🇪🇸,"4,0%",,,,,Sí,https://i.ibb.co/fMnWC0N/cerveza-nomada-la-manchurita-33cl.jpg,Sí,Trigo-White beer,No,33 cl (botella) - 33 cl (Bottle),"7,10 €",,,,,,SÍ,No
Nómada Petricor,IPA,España 🇪🇸,Spain 🇪🇸,"6,0%",,39 IBU,"Cerveza rubia, ligera y amarga. Los intolerantes al gluten también la pueden disfrutar",,Sí,https://i.ibb.co/89JrwGp/nomada-petricor.jpg,Sí,IPA-IPA,No,33 cl (Botella) - 33 cl (Bottle),"8,10 €",,,,,,SÍ,No
Nómada Revontulet,Rapsberry Sour Ale,España 🇪🇸,Spain 🇪🇸,"6,7%",,26 IBU,Cerveza con frambuesas inspirada en los bosques de Finlandia,,No,https://i.ibb.co/K7scc32/n-mada-revontulet.png,Sí,Frikis-Freaks,Sí,33 cl (Barril) - 33 cl (Small),"4,80 €",,,,,,No,Sí
Orgasmus,Brown lager,España 🇪🇸,Spain 🇪🇸,"6,6%",,,"Creias que lo habías probado todo... ahhh ""INOCENTE""",,Sí,,Sí,Tostada-Brown,No,33 cl (botella) - 33 cl (Bottle),"4,00 €",75 cl (Botella)- (Bottel),"8,00 €",,,,SÍ,No
Orval,Belgian Pale Ale ,Bélgica 🇧🇪,Belgium 🇧🇪,"6,2%",,36 IBU,,,Sí,https://i.ibb.co/6WvW8bv/orval.png,No,Tostada-Brown,No,33 cl (Botella) - 33 cl (Bottle),"5,40 €",,,,,,SÍ,No
Pacífico Clara,Pilsner,México 🇲🇽,Mexico 🇲🇽,"4,5%",,15 IBU,"Pacífico es una cerveza de gran tradición y la marca líder de Grupo Modelo en el noroeste del país. Es una cerveza clara, de sabor ligero muy refrescante. Pacífico tiene sus raíces en Mazatlán y se exporta estados de la costa oeste y sur de los Estados Unidos desde 1985, con muy buenos resultados.",,Sí,https://i.ibb.co/71nDzXr/Pac-fico-clara.png,No,Rubia-Blond,No,"35,5 cl (botella) - 35,5 cl (Bottle)","3,80 €",,,,,,SÍ,No
Pavones de 28030,Ddh Session IPA,España 🇪🇸,Spain 🇪🇸,"5,0%",,45 IBU,"Pavones es una increíble DDH Session IPA nacida en Moratalaz. El trago de esta cerveza comienza con una sensación afrutada y tropical que va evolucionando hacia un ligero amargor herbáceo, que se torna en un suave sabor melón y pan. La magia en dos tiempos del trago se suma al dulzor de la malta y a una baja graduación que permite beberla durante toda la tarde. El uso de la levadura Verdant IPA le aporta otro matiz añadido al sabor. Presenta una espuma esponjosa junto a un aspecto turbio y rubio. La carbonatación es moderada para que permita un trago largo y fresco. El gran aroma anticipa la combinación de los dos lúpulos usados. cashmere y mosaic",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1620380888/j097whoitkn1ii5nwlgg.png,Sí,IPA-IPA,No,44 cl (Lata) - 44 cl (Canned),"8,60 €",,,,,,SÍ,No
Perfect Day,IPA,España 🇪🇸,Spain 🇪🇸,"6,5%",,,,,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1601974098/xaqoyj6zbp8zzcsnwbhf.png,Sí,IPA-IPA,No,44 cl (Lata) - 44 cl (Canned),"6,90 €",,,,,,SÍ,No
Periferia,Dipa,España 🇪🇸,Spain 🇪🇸,"8,0%",,,"Una Doble IPA en colaboración con San Frutos. Aromática e intensa, destaca por su delicioso equilibrio entre amargor y dulzor, acompañado por notas cítricas y frutales, con toques pináceos y terrosos. Lúpulos: Mandarina Bavaria, Simcoe y Mosaic",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1628934137/jxwhbk0s3zthwtfu4lmw.png,Si,IPA-IPA,No,44 cl (Lata) - 44cl (Canned),"8,60 €",,,,,,SÍ,No
Periplo,Doble NEIPA,España 🇪🇸,Spain 🇪🇸,"7,6%",,56 IBU,"fresquísima DOBLE NEIPA en colaboración con Attik Brewing. Una Doble NEIPA intensa, turbia y con 7,6% Vol. Alc. que entra como la seda. Con un abundantísimo Dry Hopping de Citra, Sabro y Loral que la dan unos aromas especiados, florales, cítricos y frutales con deliciosas notas tropicales",,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1617878923/ueljrcldn07e1ohwafgt.png,Sí,IPA-IPA,No,44 cl (Lata) - 44 cl (Canned),"8,50 €",,,,,,SÍ,No
