Nombre,Nombre ingles,Descripcion,Descripcion ingles,Tipo,Precio,precio 2,Altramuces,Apio,Cacahuete,Crustaceo,Gluten,Huevo,Lacteos,Moluscos,Mostaza,Nueces,Pescado,Sesamo,Soja,Sulfitos,Disponible
4 Quesos,4 Quesos,"Tomate, Mozzarella, Cabra, Roquefort y Parma","Tomato, Mozzarella, Goat's Cheese, Roquefort and Parma",Pasta & Pizza-Pasta & Pizza,"13,00€","15,00€",,,,,Sí,,Sí,,,,,,,,Sí
Barbacoa,Barbacoa,"Tomate, Mozzarella, Carne Picada, Salsa BBQ","Tomato, Mozzarella, Ground Beef, BBQ Sauce",Pasta & Pizza-Pasta & Pizza,"12,00€","14,00€",,,,,Sí,,Sí,,Sí,,,,,,Sí
ERASMUS,ERASMUS,"Tomate, Mozzarella, Jamón, Bacon, Cebolla, Maiz, Espárragos, Aceitunas","Tomato, Mozzarella, Ham, Bacon,Onion, Asparagus, Swetcorn",Pasta & Pizza-Pasta & Pizza,"13,50€","15,50€",,,,,Sí,,Sí,,,,,,,,Sí
,,,,,,,,,,,,,,,,,,,,,Sí
Orgasmus 75 cl (Crianza),Orgasmus 75 cl (Crianza),TINTO - D.O. Toro,HOUSE WINE - RED - D.O. Toro,Vinos-Wine,"15,50€","16,50€",,,,,,,,,,,,,,,Sí
Orgasmus Magnum 150 cl (Crianza),Orgasmus Magnum 150 cl (Crianza),TINTO - D.O. Toro,HOUSE WINE - RED - D.O. Toro,Vinos-Wine,"28,00€","29,00€",,,,,,,,,,,,,,,Sí
Viña Sastre (Crianza),Viña Sastre (Crianza),TINTO - D.O. Ribera del Duero,RED WINE - D.O. Ribera del Duero,Vinos-Wine,"29,00€","30,00€",,,,,,,,,,,,,,,No
Conde de San Cristobal (Crianza),Conde de San Cristobal (Crianza),TINTO - D.O. Ribera del Duero,RED WINE - D.O. Ribera del Duero,Vinos-Wine,"23,00€","24,00€",,,,,,,,,,,,,,,Sí
Ramón Bilbao (Crianza),Ramón Bilbao (Crianza),TINTO - D.O. Rioja,RED  WINE - D.O. Rioja,Vinos-Wine,"17,00€","18,00€",,,,,,,,,,,,,,,Sí
Carmelo Rodero (Crianza),Carmelo Rodero (Crianza),TINTO - D.O. Ribera del Duero,RED WINE - D.O. Ribera del Duero,Vinos-Wine,"28,00€","29,00€",,,,,,,,,,,,,,,Sí
Caiado ,Caiado,TINTO - Alentejo - Portugal,TINTO - Alentejo - Portugal,Vinos-Wine,"17,50€","18,50€",,,,,,,,,,,,,,,Sí
El Pedal (Crianza),El Pedal (Crianza),TINTO - D.O. Rioja,RED WINE - D.O. Rioja,Vinos-Wine,"18,00€","19,00€",,,,,,,,,,,,,,,No
Gota de Arena,Gota de Arena,TINTO - Tierra de Castilla y Leon,RED WINE - Tierra de Castilla y Leon,Vinos-Wine,"17,00€","18,00€",,,,,,,,,,,,,,,Sí
Carodorum (Crianza),Carodorum (Crianza),TINTO - D.O. Toro,RED WINE - D.O. Toro,Vinos-Wine,"19,00€","20,00€",,,,,,,,,,,,,,,Sí
Soto de Perahigos,Soto de Perahigos,TINTO - Sierra de Salamanca,RED WINE - Sierra de Salamanca,Vinos-Wine,"13,50€","14,50€",,,,,,,,,,,,,,,Sí
Cune (Crianza),Cune (Crianza),TINTO - D.O. Rioja,RED WINE - D.O. Rioja,Vinos-Wine,"15,00€","16,00€",,,,,,,,,,,,,,,Sí
Pago de los Capellanes (Crianza),Pago de los Capellanes (Crianza),TINTO - D.O. Ribera del Duero,RED WINE - D.O. Ribera del Duero,Vinos-Wine,"32,00€","33,00€",,,,,,,,,,,,,,,Sí
Pago de los Capellanes (Roble),Pago de los Capellanes (Roble),TINTO - D.O. Ribera del Duero,RED WINE - D.O. Ribera del Duero,Vinos-Wine,"19,00€","20,00€",,,,,,,,,,,,,,,Sí
Dominio del Bendito (El Primer Paso),Dominio del Bendito (El Primer Paso),TINTO - D.O. Toro ,RED WINE - D.O. Toro  ,Vinos-Wine,"28,00€","29,00€",,,,,,,,,,,,,,,Sí
Emilio Moro (Crianza),Emilio Moro (Crianza),TINTO - D.O. Ribera del Duero,RED WINE - D.O. Ribera del Duero,Vinos-Wine,"27,00€","28,00€",,,,,,,,,,,,,,,Sí
Contino (Reserva),Contino,TINTO - D.O. Rioja,RED  WINE - D.O. Rioja,Vinos-Wine,"26,00€","27,00€",,,,,,,,,,,,,,,Sí
Mauro,Mauro,TINTO - Ribera del Duero,RED WINE - Ribera del Duero,Vinos-Wine,"39,50€","40,50€",,,,,,,,,,,,,,,Sí
Jesús Yllera (Crianza),Jesús Yllera (Crianza),TINTO - Ribera del Duero,RED WINE - Ribera del Duero,Vinos-Wine,"35,00€","36,00€",,,,,,,,,,,,,,,No
Muga (Crianza),Cune (Crianza),TINTO - D.O. Rioja,RED WINE - D.O. Rioja,Vinos-Wine,"28,00€","29,00€",,,,,,,,,,,,,,,Sí
Yllera 5.5 ,Yllera 5.5 ,BLANCO - Frizzante,WHITE WINE - Frizzante,Vinos-Wine,"15,00€","16,00€",,,,,,,,,,,,,,,Sí
K-naia,K-naia,BLANCO - Verdejo,WHITE WINE - Verdejo,Vinos-Wine,"19,50€","20,50€",,,,,,,,,,,,,,,Sí
Ciclohome,Ciclohome,BLANCO - Godello,WHITE WINE - Godello,Vinos-Wine,"22,50€","23,50€",,,,,,,,,,,,,,,Sí
José Fernando,José Fernando ,BLANCO - D.O. Rueda -Verdejo,WHITE WINE -  D.O. Rueda -Verdejo,Vinos-Wine,"15,00€","16,00€",,,,,,,,,,,,,,,Sí
Yllera Vendimia Nocturna,Yllera Vendimia Nocturna,BLANCO - D.O. Rueda -Verdejo,WHITE WINE -  D.O. Rueda -Verdejo,Vinos-Wine,"16,00€","17,00€",,,,,,,,,,,,,,,No
Cune Verdejo,Cune Verdejo,BLANCO - D.O. Rueda -Verdejo,WHITE WINE -  D.O. Rueda -Verdejo,Vinos-Wine,"16,00€","17,00€",,,,,,,,,,,,,,,Sí
Luar do Sil Godello,Luar do Sil Godello,BLANCO - Godello,WHITE WINE - Godello,Vinos-Wine,"19,00€","20,00€",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Mojito,Mojito,,,Cocktail-Cocktail,"7,00€","7,30€",,,,,,,,,,,,,,,Sí
Daiquiri,Daiquiri,,,Cocktail-Cocktail,"7,00€","7,30€",,,,,,,,,,,,,,,Sí
Erasmus Mule,Erasmus Mule,,,Cocktail-Cocktail,"7,00€","7,30€",,,,,,,,,,,,,,,Sí
Margarita,Margarita,,,Cocktail-Cocktail,"7,00€","7,30€",,,,,,,,,,,,,,,Sí
Piña Colada,Piña Colada,,,Cocktail-Cocktail,"7,00€","7,30€",,,,,,,,,,,,,,,Sí
Sex on the beach,Sex on the beach,,,Cocktail-Cocktail,"7,00€","7,30€",,,,,,,,,,,,,,,Sí
Tequila Sunrise,Tequila Sunrise,,,Cocktail-Cocktail,"7,00€","7,30€",,,,,,,,,,,,,,,Sí
,,,,,,,,,,,,,,,,,,,,,Sí
,,,,,,,,,,,,,,,,,,,,,
Café Americano,American Coffee,,,Café y Te-Coffee & Tea,"2,10€","2,40€",,,,,,,,,,,,,,,Sí
Café Bombón,Bombon Coffee,,,Café y Te-Coffee & Tea,"2,30€","2,70€",,,,,,,,,,,,,,,Sí
Café Irlandés,Irish Coffee,,,Café y Te-Coffee & Tea,"6,00€","6,30€",,,,,,,,,,,,,,,Sí
